elapsed_us,rss_bytes,vsize_bytes,minor_faults,major_faults,read_bytes,available_bytes,thread_count,process_cpu_pct,system_user_ticks,system_system_ticks,system_idle_ticks,system_iowait_ticks,thermal_json,frequency_json
6662,131072,430080,15,1,397312,7825731584,1,0.0,2528874,399516,10201470,25780,"{""thermal_zone0"": 42000, ""thermal_zone1"": 43000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
127205,6684672,5005656064,318,53,5652480,7825743872,1,33.183374346324854,2528879,399518,10201552,25786,"{""thermal_zone0"": 42000, ""thermal_zone1"": 42000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
244463,9830400,5005656064,321,102,12075008,7825813504,1,17.05643855269194,2528880,399520,10201631,25796,"{""thermal_zone0"": 42000, ""thermal_zone1"": 42000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
361547,12976128,5005656064,324,150,18366464,7825682432,1,8.540817038643022,2528881,399524,10201710,25806,"{""thermal_zone0"": 42000, ""thermal_zone1"": 43000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
478882,16121856,5005656064,326,198,24657920,7825498112,1,17.04531222678229,2528883,399527,10201789,25816,"{""thermal_zone0"": 42000, ""thermal_zone1"": 42000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
596167,19267584,5005656064,328,246,30949376,7825489920,1,8.526225762402104,2528884,399530,10201868,25827,"{""thermal_zone0"": 42000, ""thermal_zone1"": 41000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
713442,22282240,5005656064,331,294,37253120,7824826368,1,17.053857155289407,2528886,399536,10201944,25836,"{""thermal_zone0"": 42000, ""thermal_zone1"": 43000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
834492,26607616,5005656064,370,348,43622400,7824195584,1,24.783157901206547,2528889,399542,10202022,25844,"{""thermal_zone0"": 42000, ""thermal_zone1"": 42000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
954681,32899072,5008789504,1403,375,45445120,7820128256,1,83.20237072175803,2528899,399544,10202104,25844,"{""thermal_zone0"": 42000, ""thermal_zone1"": 42000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
1075600,36352000,5012279296,2374,375,45445120,7816515584,1,99.24033426228627,2528912,399545,10202187,25844,"{""thermal_zone0"": 42000, ""thermal_zone1"": 41000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
