elapsed_us,rss_bytes,vsize_bytes,minor_faults,major_faults,read_bytes,available_bytes,thread_count,process_cpu_pct,system_user_ticks,system_system_ticks,system_idle_ticks,system_iowait_ticks,thermal_json,frequency_json
6186,262144,4214784,18,1,393216,7821508608,1,0.0,2563924,409870,10352539,27241,"{""thermal_zone0"": 43000, ""thermal_zone1"": 43000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
129483,7864320,5005656064,329,51,5349376,7823015936,1,32.441797064036834,2563927,409874,10352622,27249,"{""thermal_zone0"": 43000, ""thermal_zone1"": 43000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
247354,11010048,5005656064,332,99,11640832,7823147008,1,16.967785471537304,2563929,409877,10352702,27259,"{""thermal_zone0"": 43000, ""thermal_zone1"": 44000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
365366,14024704,5005656064,334,147,17932288,7822954496,1,8.473723369385947,2563930,409880,10352781,27269,"{""thermal_zone0"": 42000, ""thermal_zone1"": 42000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
483096,17170432,5005656064,336,195,24223744,7823028224,1,16.98802849385031,2563932,409882,10352861,27279,"{""thermal_zone0"": 42000, ""thermal_zone1"": 43000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
600717,20316160,5005656064,339,243,30584832,7823093760,1,8.501852447375127,2563933,409885,10352940,27289,"{""thermal_zone0"": 42000, ""thermal_zone1"": 43000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
718814,24117248,5005656064,352,292,36876288,7823089664,1,16.935231208244073,2563934,409889,10353020,27299,"{""thermal_zone0"": 42000, ""thermal_zone1"": 43000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
836623,30670848,5006811136,913,341,41447424,7820640256,1,59.41820831098609,2563941,409891,10353101,27303,"{""thermal_zone0"": 43000, ""thermal_zone1"": 44000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
955838,35225600,5011124224,2015,343,41611264,7816339456,1,92.27041428602357,2563953,409893,10353182,27303,"{""thermal_zone0"": 43000, ""thermal_zone1"": 44000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
1078010,38944768,5014712320,2999,343,41611264,7812866048,1,98.22197436088885,2563966,409895,10353265,27303,"{""thermal_zone0"": 42000, ""thermal_zone1"": 44000}","{""cpu0"": 1600000, ""cpu1"": 1600000, ""cpu2"": 1600000, ""cpu3"": 1600000, ""cpu4"": 1600000, ""cpu5"": 1600000, ""cpu6"": 1600000, ""cpu7"": 1600000}"
